Term,Definition
Quote,"The highest bid to buy and the lowest offer to sell a security in a given market at a given time. If you ask your financial advisor for a ""quote"" on a stock, he or she may come back with something like ""45 1/4 to 45 1/2."" This means that $45.25 is the highest price any buyer wanted to pay at the time the quote was given on the floor of the exchange and that $45.50 was the lowest price that any seller would take at the same time.  "
Rally,"A brisk rise following a decline in the general price level of the market, or in an individual stock. "
Range,A security's high and low transaction prices (or high and low bids and offers) for a specific period. 
Rating,"An evaluation of credit quality. Moody's, Standard & Poor's, and Fitch Investors Service issue ratings to companies used by investors and analysts. "
Real Estate Investment Trust (REIT),An organization similar to an investment company in some respects but concentrating its holdings in real estate investments. The yield is generally liberal since REITs are required to distribute as much as 90% of their income. 
Record date,Date by which a shareholder must officially own shares in order to be entitled to a dividend.
Redemption price,"The price at which a bond may be redeemed before maturity, at the option of the issuing company. Redemption value also applies to the price the company must pay to call in certain types of preferred stock. "
Red herring,"Industry jargon for a preliminary prospectus issued by underwriters or issuers to gauge interest in a prospective offering. It receives its name from the warning printed in red, that information in the document is incomplete or subject to change before the issue. "
Refinancing,"Same as refunding. New securities are sold by a company and the money is used to retire existing securities. The object may be to save interest costs, extend the maturity of the loan, or both. "
Registered bond,A bond issued in the name of the owner. Nontransferable without the owner's endorsement. 
Registered competitive market maker,"Members of the New York Stock Exchange who trade on the floor for their own or their firm's account and who have an obligation, when called upon by an exchange official, to narrow a quote or improve the depth of an existing quote by their own bid or offer."
Registered representative,"The man or woman who serves the investor customers of a broker-dealer. In a New York Stock Exchange-member organization, a registered representative must meet the requirements of the exchange as to background and knowledge of the securities business. Also known as a financial advisor or customer's broker. "
Registrar,Usually a trust company or bank charged with the responsibility of keeping record of the owners of a corporation's securities and preventing the issuance of more than the authorized amount.
Registration,A company's filing of securities with the SEC for public offering. 
Regulation A,The securities regulation that exempts small public offerings (valued at less than $1.5 million) from most SEC registration requirements. 
Regulation D,Securities and Exchange Commission (SEC) regulation governing private placement exemptions. Reg D allows usually smaller companies to raise capital through the sale of equity or debt securities without having to register their securities with the SEC. 
Regulation M,Federal regulation requiring member banks to hold reserves against their net borrowings from their foreign branches over a 28-day averaging period. Reg M has also required member banks to hold reserves against Eurodollars lent by their foreign branches to domestic corporations for domestic purposes. 
Regulation Q,"Federal regulation imposing caps on the rates that banks may pay on savings and time deposits. Currently time deposits with a denomination of $100,000 or more are exempt from Reg Q. "
Regulation T,The federal regulation governing the amount of credit that may be advanced by brokers and dealers to customers for the purchase of securities. 
Regulation U,The federal regulation governing the amount of credit that may be advanced by banks to customers for the purchase of listed stocks. 
Reverse stock split,A reduction in the number of shares (but not the value of shares) held by shareholders. Shareholders maintain the same percentage of equity in the corporation as before the split. 
Rights,"When a company wants to raise more funds by issuing additional securities, it may give its stockholders the opportunity, ahead of others, to buy the new securities in proportion to the number of shares each owns. The piece of paper evidencing this privilege is called a right. Because the additional stock is usually offered to stockholders below the current market price, rights ordinarily have a market value of their own and are actively traded. In most cases they must be exercised within a relatively short period. Failure to exercise or sell rights may result in monetary loss to the holder. "
Roll over,"To reinvest funds received from a maturing security into a new issue of the same or a similar security. Also, a tax-advantaged reinvestment of funds from a qualified retirement plan into an IRA or other qualified plan. "
Roth accounts,"An IRA or 401(k) retirement account created by congress in 1997. Savings to these accounts grow tax-free, but contributions are made on a pre-tax basis. "
Round lot,"A unit of trading or a multiple thereof. On the NYSE, the unit of trading is generally 100 shares in stocks and $1,000 or $5,000 par value in the case of bonds. In some inactive stocks, the unit of trading is 10 shares.  "
Scale order,"An order to trade a security, to be executed in pieces at pre-determined price levels. "
Seat,A traditional figure of speech for a membership on an exchange. 
SEC,"Created by an act of Congress in 1934, the Securities and Exchange Commission regulates the securities industry and protects investors from fraudulent practices. "
Secondary distribution,Sale of a block of listed or unlisted securities after it has originally been sold by the issuer. 
Sector,"A group of securities that are similar (e.g., maturity, type, rating, industry, etc). "
Securities Industry Automation Corporation (SIAC),"An independent organization established by the New York and American Stock Exchanges as a jointly owned subsidiary to provide automation, data processing, clearing and communications services. "
Securities Investor Protection Corporation (SIPC),"Provides funds for use, if necessary, to protect customers' cash and securities that may be on deposit with a SIPC member firm in the event the firm fails and is liquidated under the provisions of the SIPC Act. SIPC is not a government agency. It is a non-profit membership corporation created, however, by an act of Congress. "
Security,"An investment instrument defined by the Securities Exchange Act of 1934 as 'Any note, stock, treasury stock, bond, debenture, certificate of interest or participation in any profit-sharing agreement or in any oil, gas, or other mineral royalty or lease, any collateral trust certificate, preorganization certificate or subscription, transferable share, investment contract, voting-trust certificate, certificate of deposit, for a security, any put, call, straddle, option, or privilege on any security, certificate of deposit, or group or index of securities (including any interest therein or based on the value thereof), or any put, call, straddle, option, or privilege entered into on a national securities exchange relating to foreign currency, or in general, any instrument commonly known as a 'security'; or any certificate of interest or participation in, temporary or interim certificate for, receipt for, or warrant or right to subscribe to or purchase, any of the foregoing; but shall not include currency or any note, draft, bill of exchange, or banker's acceptance which has a maturity at the time of issuance of not exceeding nine months, exclusive of days of grace, or any renewal thereof the maturity of which is likewise limited. "
Sell limit order,"Conditional trading order that instructs an agent to sell a security at the designated price or higher. Limit orders become market orders when they reach the specified limit and execute at the market price, not the specified limit price. "
Seller's option,"A seller's right to select a date of a security's delivery, within limits prescribed by a contract (usually from not less than two business days to not more than 60 days). "
Selling short,"Borrowing a security from a broker and selling it, hoping the price will go down. Eventually, the borrower must buy the stock back on the open market to repay the broker. "
Serial bond,An issue that matures in part at periodic stated intervals.
Settlement,When payment is made for an executed trade and the security is delivered. 
Shares,Certificates or book entries representing ownership in a corporation. 
Short,An investor who has sold a contract to establish a market position and who has not yet closed out this position through an offsetting purchase. Opposite of a long position. 
Short sale,"Selling a security that the seller does not own, but is committed to repurchasing eventually (profiting from an expected decline in the security's price). "
Specialist,"A member of the New York Stock Exchange who has two primary functions: first, to maintain an orderly market in the securities registered to the specialist. In order to maintain an orderly market, the exchange expects specialists to buy or sell for their own account, to a reasonable degree, when there is a temporary disparity between supply and demand. Second, the specialist acts as a broker's broker. When commission brokers on the exchange floor receive a limit order, say, to buy at $50 a stock then selling at $60 - they cannot wait at the post where the stock is traded to see if the price reaches the specified level. They leave the order with a specialist, who will try to execute it in the market if and when the stock declines to the specified price. At all times the specialists must put their customers' interests above their own. "
Speculation,Investing with high risk when principal safety is secondary to quick gains. 
Speculator,"An investor who attempts to anticipate (and profit from) market price changes, assuming a large amount of risk in the process. "
Spin-off,An independent company created from an existing division of another firm by selling or distributing new shares in the spin-off. 
Split,An increase in the number of shares (but not the value of shares) held by shareholders. Shareholders maintain the same percentage of equity in the corporation as before the split. 
Spread,The gap between bid and ask prices.
Standard deviation,"Measures the fluctuation of returns around the arithmetic average return of the investment. The higher the standard deviation, the greater the variable (and the risk) of the investment return. "
Stock,"Ownership of a corporation, represented by shares, which in turn represent a piece of that corporation's assets and earnings. "
Stock exchange,An organized marketplace for securities featured by the centralization of supply and demand for the transaction of orders by member brokers for institutional and individual investors. 
Stock dividend,"A dividend paid in securities rather than in cash. The dividend may be additional shares of the issuing company, or in shares of another company (usually a subsidiary) held by the company. "
Stockholder of record,A stockholder whose name is registered on the books of the issuing corporation. 
Stock index futures,"Futures contracts based on market indexes, e.g. NYSE Composite Index Futures Contracts. "
Stock ticker symbols,Lettered symbols (up to four letters per symbol) assigned to securities and mutual funds trading on U.S. exchanges. 
Stop limit order,A stop order that becomes a limit order after the specified stop price has been reached. 
Stop order,"An order to buy at a price above or sell at a price below the current market. Stop buy orders are generally used to limit loss or protect unrealized profits on a short sale. Stop sell orders are generally used to protect unrealized profits or limit loss on a holding. A stop order becomes a market order when the stock sells at or beyond the specified price and, thus, may not necessarily be executed at that price."
Street,"Brokers, dealers, underwriters, and other knowledgeable members of the financial community."
Street name,"Securities held in the name of a broker instead of a customer's name are said to be carried in ""street name."" This occurs when the securities have been bought on margin or when the customer wishes the security to be held by the broker. "
Strike price,The stated price per share for which underlying stock may be purchased (in the case of a call) or sold (in the case of a put) by the option holder upon exercise of the option contract. 
Structured settlement,An agreement to settle a lawsuit involving specific payments made over a period of time. 
Swapping,"Selling one security and buying a similar one almost at the same time to take a loss, usually for tax purposes. "
Sweep account,Account in which a brokerage firm takes all the excess available funds at the close of each business day and invests them on behalf of the firm. 
Syndicate,A group of investment bankers who together underwrite and distribute a new issue of securities or a large block of an outstanding issue.  
Takeover,Transfer of control of a firm from one group of shareholders to another group. 
Tax-deferred retirement plans,Employee-sponsored and other plans that allow contributions and earnings to be made and accumulate tax-free until they are paid out as benefits. Withdrawals are subject to ordinary income tax and may be subject to a 10 percent tax penalty if taken prior to age 59 1/2.
Technical research,"Analysis of the market and stocks based on supply and demand. The technician studies price movements, volume, trends and patterns, which are revealed by charting these factors, and attempts to assess the possible effect of current market action on future supply and demand for securities and individual issues. "
Tender offer,General offer made publicly and directly to a firm's shareholders to buy their stock at a price well above the current market price. 
Tenancy in common,A form of joint property agreement without right of survivorship. 
Term life insurance,"A contract that provides a death benefit, but no cash accumulation or investment component. "
Third market,Trading of stock exchange-listed securities in the over-the-counter market by non-exchange member brokers. 
Tick,"Minimum change in a security's price, either up or down. "
Ticker,"A scrolling, constantly updated list of current or recent security prices and/or volume. "
Time horizon,The length of time an investor holds an asset. 
Trade,A verbal or electronic transaction involving one party buying a security from another. Settlement occurs one to three days later. 
Trader,People who take a position in securities with the objective of making profits. 
Transfer,A change of asset ownership.
Transfer agent,Person employed by a firm to maintain shareholder information. 
Treasury bonds,Debts issued by the U.S. Treasury with maturities of 10 years or more. 
Treasury stock,"Stock issued by a company, but later reacquired. It may be held in the company's treasury indefinitely, reissued to the public or retired. Treasury stock receives no dividends and has no vote while held by the company."
Turnover rate,"The volume of shares traded in a year as a percentage of total shares listed on an exchange, outstanding for an individual issue or held in an institutional portfolio.  "
Underperform,When a security is expected to appreciate at a slower rate than the rest of the market. 
Underwriter,A firm (usually an investment bank) that buys an issue of securities from a company and resells it to investors.
Unit investment trust,Money invested in a portfolio whose composition is fixed for the life of the fund. These trusts can trade at a loss. 
Universal life,"A whole-life insurance product whose investment component pays a competitive interest rate rather than the below-market crediting rate. Universal life insurance policies' cash values are supported by the insurance company's general account. Universal variable life cash values are supported by the insurance company's separate account based on the selection of the investment option. Variable life insurance is offered by prospectus only. The prospectus contains details including charges and expenses. Please read the prospectus carefully before purchasing a policy. Life insurance policies contain exclusions, limitations, reduction of benefits and terms for keeping them in force. Insurance policies are the contractual obligation of the issuing insurance company. "
Unlisted stock,A security not listed on a stock exchange. (See: Over-the-counter) 
Up tick,"A term used to designate a transaction made at a price higher than the preceding transaction. Also called a ""plus"" tick. A ""zero-plus"" tick is a term used for a transaction at the same price as the preceding trade but higher than the preceding different price. Conversely, a down tick, or ""minus"" tick, is a term used to designate a transaction made at a price lower than the preceding trade. A plus sign, or a minus sign, is displayed throughout the day next to the last price of each stock at the trading post on the floor of the New York Stock Exchange.  "
Value-added tax,Method of indirect taxation whereby a tax is levied at each stage of production on the value added at that specific stage. 
Variable annuity,Annuity contracts in which the issuer pays a periodic amount linked to the investment performance of the underlying portfolio. 
Variable life insurance policy,"A whole-life insurance product that provides a death benefit dependent on the insured's portfolio market value at the time of death. Variable life insurance is offered by prospectus only. The prospectus contains details including charges and expenses. Please read the prospectus carefully before purchasing a policy. Life insurance policies contain exclusions, limitations, reduction of benefits and terms for keeping them in force. Insurance policies are the contractual obligation of the issuing insurance company. "
Venture capital,An investment in a start-up business that the investor perceives as having growth prospects but lacking access to capital markets.
Volume,The number of shares or contracts traded in a security or an entire market during a given period. Volume is usually considered on a daily basis and a daily average is computed for longer periods. 
Voting right,Common stockholders' right to vote their stock in affairs of a company. Preferred stock usually has the right to vote when preferred dividends are in default for a specified period. The right to vote may be delegated by the stockholder to another person.  
Warehousing,The interim period from the time a loan closes to its subsequent marketing to capital market investors. 
Warrants,Certificates giving the holder the right to purchase securities at a stipulated price within a specified time limit or perpetually. Sometimes a warrant is offered with securities as an inducement to buy. 
Watch list,"A list of securities selected for special attention by a brokerage, exchange, or regulatory organization. Firms on the watch list are often takeover targets, companies planning to issue new shares, or stocks that show unusual activity. "
When issued,"A short form of ""when, as and if issued."" The term indicates a conditional transaction in a security authorized for issuance but not as yet actually issued. All ""when issued"" transactions are on an ""if"" basis, to be settled if and when the actual security is issued and the exchange or National Association of Securities Dealers rules the transactions are to be settled. "
Whole life insurance,A contract with both insurance and investment components. It pays off a stated amount upon the insured's death; and it accumulates a cash value that the policyholder can redeem or borrow against. 
Wire house,"A firm operating a private wire to its own branch offices or to other firms, clearing agents houses, or brokerage houses. "
Working capital,The difference in current assets and current liabilities.
Working control,"Theoretically, ownership of 51% of a company's voting stock is necessary to exercise control. In practice - and this is particularly true in the case of a large corporation - effective control sometimes can be exerted through ownership, individually or by a group acting in concert, of less than 50%."
Write-down,Decreasing the book value of an asset if its book value is overstated compared to current market values.  
Yield,Also known as return. The dividends or interest paid by a company expressed as a percentage of the current price. A stock with a current market value of $40 a share paying dividends at the rate of $3.20 is said to return 8% ($3.20÷$40.00). The current yield on a bond is figured the same way. 
Yield ratio,The quotient of two bond yields. 
Yield to maturity,The yield of a bond to maturity takes into account the price discount from or premium over the face amount. It is greater than the current yield when the bond is selling at a discount and less than the current yield when the bond is selling at a premium.  
Zero coupon bond,"A bond with no coupons (i.e., pays no interest) that an issuer sells at a deep discount, which matures at its face value."
